ts_rounded,bytes,throughput_mbps,experimento
1617175958,52643,0.421144,2021-03-31T15-29-24
1617175959,32793,0.262344,2021-03-31T15-29-24
1617175960,55852,0.446816,2021-03-31T15-29-24
1617175961,61100,0.4888,2021-03-31T15-29-24
1617175962,30198,0.241584,2021-03-31T15-29-24
1617175963,28731,0.229848,2021-03-31T15-29-24
1617175964,9468,0.075744,2021-03-31T15-29-24
1617175965,17608,0.140864,2021-03-31T15-29-24
1617175966,25308,0.202464,2021-03-31T15-29-24
1617175967,21074,0.168592,2021-03-31T15-29-24
1617175968,2850,0.0228,2021-03-31T15-29-24
1617175969,1816,0.014528,2021-03-31T15-29-24
1617175970,5413,0.043304,2021-03-31T15-29-24
1617175971,1818,0.014544,2021-03-31T15-29-24
1617175972,4002,0.032016,2021-03-31T15-29-24
1617175973,188,0.001504,2021-03-31T15-29-24
1617175974,1380,0.01104,2021-03-31T15-29-24
1617175975,1304,0.010432,2021-03-31T15-29-24
1617175976,1008,0.008064,2021-03-31T15-29-24
1617175977,1728,0.013824,2021-03-31T15-29-24
1617175978,690,0.00552,2021-03-31T15-29-24
1617175980,400,0.0032,2021-03-31T15-29-24
1617175983,7192,0.057536,2021-03-31T15-29-24
1617175984,7740,0.06192,2021-03-31T15-29-24
1617175985,34307,0.274456,2021-03-31T15-29-24
1617175986,22102,0.176816,2021-03-31T15-29-24
1617175987,24460,0.19568,2021-03-31T15-29-24
1617175988,7318,0.058544,2021-03-31T15-29-24
1617175989,8551,0.068408,2021-03-31T15-29-24
1617175990,7694,0.061552,2021-03-31T15-29-24
1617175991,11831,0.094648,2021-03-31T15-29-24
1617175992,4388,0.035104,2021-03-31T15-29-24
1617175993,7718,0.061744,2021-03-31T15-29-24
1617175994,4108,0.032864,2021-03-31T15-29-24
1617175995,1188,0.009504,2021-03-31T15-29-24
1617175996,2196,0.017568,2021-03-31T15-29-24
1617175997,336,0.002688,2021-03-31T15-29-24
1617175998,11340,0.09072,2021-03-31T15-29-24
1617175999,9138,0.073104,2021-03-31T15-29-24
1617176000,8030,0.06424,2021-03-31T15-29-24
1617176001,3136,0.025088,2021-03-31T15-29-24
1617176003,2880,0.02304,2021-03-31T15-29-24
1617176004,3384,0.027072,2021-03-31T15-29-24
1617176005,19067,0.152536,2021-03-31T15-29-24
1617176006,36643,0.293144,2021-03-31T15-29-24
1617176007,24496,0.195968,2021-03-31T15-29-24
1617176008,18855,0.15084,2021-03-31T15-29-24
1617176009,21812,0.174496,2021-03-31T15-29-24
1617176010,11852,0.094816,2021-03-31T15-29-24
1617176011,19374,0.154992,2021-03-31T15-29-24
1617176012,1432,0.011456,2021-03-31T15-29-24
1617176014,454,0.003632,2021-03-31T15-29-24
1617176016,522,0.004176,2021-03-31T15-29-24
1617176017,1808,0.014464,2021-03-31T15-29-24
1617176018,1769,0.014152,2021-03-31T15-29-24
1617176026,634,0.005072,2021-03-31T15-29-24
1617176027,714,0.005712,2021-03-31T15-29-24
1617176028,208,0.001664,2021-03-31T15-29-24
1617176029,3494,0.027952,2021-03-31T15-29-24
1617176030,21216,0.169728,2021-03-31T15-29-24
1617176031,27166,0.217328,2021-03-31T15-29-24
1617176032,21766,0.174128,2021-03-31T15-29-24
1617176033,1116,0.008928,2021-03-31T15-29-24
1617176034,634,0.005072,2021-03-31T15-29-24
1617176042,1306,0.010448,2021-03-31T15-29-24
1617176045,224,0.001792,2021-03-31T15-29-24
1617176046,398,0.003184,2021-03-31T15-29-24
1617176047,7137,0.057096,2021-03-31T15-29-24
